Type d'établissement - Année scolaire;Libellé établissement;Adresse;Arrondissement;Code INSEE;Année scolaire;Type établissement;geo_shape;geo_point_2d
COLLEGES (année scolaire 2025/2026);ALBERTO GIACOMETTI;7 RUE DU CANGE;14ème Ardt;75114;2025-2026;Collège;"{""coordinates"": [2.31497156179252, 48.83426455206892], ""type"": ""Point""}";48.83426455206892, 2.31497156179252
COLLEGES (année scolaire 2020/2021);BORIS VIAN;76 BOULEVARD BERTHIER;17ème Ardt;75117;2020-2021;Collège;"{""coordinates"": [2.3044618079108674, 48.890576927502146], ""type"": ""Point""}";48.890576927502146, 2.3044618079108674
COLLEGES (année scolaire 2021/2022);CLAUDE MONET;1 RUE DU DOCTEUR MAGNAN;13ème Ardt;75113;2021-2022;Collège;"{""coordinates"": [2.3623243534171525, 48.827434468723496], ""type"": ""Point""}";48.827434468723496, 2.3623243534171525
COLLEGES (année scolaire 2021/2022);CLAUDE BERNARD;1 AVENUE DU PARC DES PRINCES;16ème Ardt;75116;2021-2022;Collège;"{""coordinates"": [2.2549423416320593, 48.84197468243493], ""type"": ""Point""}";48.84197468243493, 2.2549423416320593
COLLEGES (année scolaire 2021/2022);GERMAINE TILLION;8 AVENUE VINCENT D'INDY;12ème Ardt;75112;2021-2022;Collège;"{""coordinates"": [2.4117076060119294, 48.84313628382938], ""type"": ""Point""}";48.84313628382938, 2.4117076060119294
COLLEGES (année scolaire 2021/2022);PIERRE ALVISET;88 RUE MONGE;5ème Ardt;75105;2021-2022;Collège;"{""coordinates"": [2.3517836000159376, 48.84129470031784], ""type"": ""Point""}";48.84129470031784, 2.3517836000159376
COLLEGES (année scolaire 2021/2022);LEON GAMBETTA;149 AVENUE GAMBETTA;20ème Ardt;75120;2021-2022;Collège;"{""coordinates"": [2.402724143981059, 48.869999093875464], ""type"": ""Point""}";48.869999093875464, 2.402724143981059
COLLEGES (année scolaire 2022/2023);CAMILLE SEE;11 RUE LEON LHERMITTE;15ème Ardt;75115;2022-2023;Collège;"{""coordinates"": [2.2969840321284276, 48.84299079681964], ""type"": ""Point""}";48.84299079681964, 2.2969840321284276
COLLEGES (année scolaire 2022/2023);CHARLEMAGNE;13 RUE CHARLEMAGNE;4ème Ardt;75104;2022-2023;Collège;"{""coordinates"": [2.3603556466085682, 48.85415628971142], ""type"": ""Point""}";48.85415628971142, 2.3603556466085682
COLLEGES (année scolaire 2022/2023);PIERRE ALVISET;88 RUE MONGE;5ème Ardt;75105;2022-2023;Collège;"{""coordinates"": [2.3517836000159376, 48.84129470031784], ""type"": ""Point""}";48.84129470031784, 2.3517836000159376
