valeur_fonciere,surface_reelle_bati,nombre_pieces_principales,longitude,latitude,prix_m2,jour,mois,annee,arrondissement
495000.0,50.0,3.0,2.375425,48.87246,9900.0,22,1,2024,10
240000.0,26.0,1.0,2.356528,48.874227,9230.76923076923,16,1,2024,10
406000.0,41.0,2.0,2.336621,48.868191,9902.439024390244,16,1,2024,2
307162.0,38.0,2.0,2.398287,48.857645,8083.210526315789,19,1,2024,20
490000.0,80.0,4.0,2.401826,48.85838,6125.0,16,1,2024,20
218300.0,20.0,2.0,2.32673,48.888901,10915.0,9,1,2024,18
235000.0,34.0,2.0,2.343034,48.890438,6911.764705882353,10,1,2024,18
1100000.0,65.0,3.0,2.354342,48.860236,16923.076923076922,10,1,2024,4
780000.0,75.0,4.0,2.347547,48.866601,10400.0,4,1,2024,2
635000.0,64.0,3.0,2.405316,48.872256,9921.875,11,1,2024,20
262500.0,34.0,2.0,2.335011,48.890891,7720.588235294118,18,1,2024,18
1244000.0,113.0,3.0,2.290402,48.882802,11008.849557522124,16,1,2024,17
420000.0,42.0,3.0,2.320836,48.887685,10000.0,17,1,2024,17
1465300.0,82.0,3.0,2.315241,48.873088,17869.51219512195,17,1,2024,8
800000.0,55.0,2.0,2.336643,48.887601,14545.454545454546,15,1,2024,18
451200.0,108.0,5.0,2.40398,48.864016,4177.777777777777,18,1,2024,20
698400.0,80.0,3.0,2.344983,48.878695,8730.0,23,1,2024,9
278400.0,108.0,5.0,2.40398,48.864016,2577.777777777778,18,1,2024,20
316800.0,32.0,2.0,2.354876,48.864563,9900.0,16,1,2024,3
352500.0,39.0,2.0,2.355967,48.877833,9038.461538461539,15,1,2024,10
1896800.0,103.0,4.0,2.336026,48.8744,18415.533980582524,5,1,2024,9
215000.0,29.0,2.0,2.388153,48.885189,7413.793103448276,11,1,2024,19
225200.0,35.0,2.0,2.409263,48.857182,6434.285714285715,5,1,2024,20
207000.0,20.0,1.0,2.286131,48.880109,10350.0,18,1,2024,17
